prompt,health_ailment,date,result
I’ve been suffering from Myofascial Pain Syndrome ever since Past 30 days.,Myofascial Pain Syndrome,Past 30 days,success
Joint Sprain have been affecting me since 2019/12/15 – 2019/12/19.,Joint Sprain,2019/12/15 – 2019/12/19,success
I have Type 2 Diabetes since Since the COVID-19 pandemic began.,Type 2 Diabetes,Since the COVID-19 pandemic began,success
High Cholesterol (Hyperlipidemia) have been affecting me since 2020/01/28 – 2020/02/02.,High Cholesterol (Hyperlipidemia),2020/01/28 – 2020/02/02,success
I have Hyperthyroidism since Since turning 30 years old.,Hyperthyroidism,Since turning 30 years old,success
I have had Joint Sprain since 2019/11/18 – 2019/11/22.,Joint Sprain,2019/11/18 – 2019/11/22,success
I have Muscle Strain since 03/21/2020 – 03/25/2020.,Muscle Strain,03/21/2020 – 03/25/2020,success
I have had Acid Reflux (GERD) since 2019/12/01 – 2019/12/05.,Acid Reflux (GERD),2019/12/01 – 2019/12/05,success
Plantar Fasciitis have been affecting me since For the past 10 minutes.,Plantar Fasciitis,For the past 10 minutes,success
"Since The second half of November 2019, I’ve been dealing with Heat Exhaustion.",Heat Exhaustion,The second half of November 2019,success
I have had Hypertrophic Cardiomyopathy since 03/15/2020 – 03/19/2020.,Hypertrophic Cardiomyopathy,03/15/2020 – 03/19/2020,success
Irritable Bowel Syndrome (IBS) have been affecting me since The first week of November 2019.,Irritable Bowel Syndrome (IBS),The first week of November 2019,success
I’ve been suffering from Peripheral Neuropathy ever since For the past 10 minutes.,Peripheral Neuropathy,For the past 10 minutes,success
Gallstones have been affecting me since 03/06/2020 – 03/10/2020.,Gallstones,03/06/2020 – 03/10/2020,success
"Since Last month, I’ve been dealing with Achilles Tendinitis.",Achilles Tendinitis,Last month,success
I have had Fatigue from Iron Deficiency since Last month.,Fatigue from Iron Deficiency,Last month,success
I have Hypertension (High Blood Pressure) since 2019/12/08 – 2019/12/12.,Hypertension (High Blood Pressure),2019/12/08 – 2019/12/12,success
Hypertension (High Blood Pressure) have been affecting me since 12/30/2019 – 01/10/2020.,Hypertension (High Blood Pressure),12/30/2019 – 01/10/2020,success
I've been experiencing Delayed Onset Muscle Soreness (DOMS) since Past 3 hours.,Delayed Onset Muscle Soreness (DOMS),Past 3 hours,success
I have had Shingles (Herpes Zoster) since 2020/02/15 – 2020/02/20.,Shingles (Herpes Zoster),2020/02/15 – 2020/02/20,success
I have had Osteoarthritis since During Spring 2020.,Osteoarthritis,During Spring 2020,success
I've been experiencing Orthostatic Intolerance since 03/21/2020 – 03/25/2020.,Orthostatic Intolerance,03/21/2020 – 03/25/2020,success
I have had Attention Deficit Hyperactivity Disorder (ADHD) since Yesterday.,Attention Deficit Hyperactivity Disorder (ADHD),Yesterday,success
I’ve been suffering from Plantar Fasciitis ever since 03/01/2020 – 03/15/2020.,Plantar Fasciitis,03/01/2020 – 03/15/2020,success
I’ve been suffering from Common Cold ever since From 07:00 PM to 10:00 PM yesterday.,Common Cold,From 07:00 PM to 10:00 PM yesterday,success
"Since Between 02/10/2020 and 02/20/2020, I’ve been dealing with Psoriasis Urinary Tract Infection (UTI).",Psoriasis Urinary Tract Infection (UTI),Between 02/10/2020 and 02/20/2020,success
I have Depression since Past 2 weeks.,Depression,Past 2 weeks,success
"Since 2020/02/15 – 2020/02/20, I’ve been dealing with Chronic Kidney Disease.",Chronic Kidney Disease,2020/02/15 – 2020/02/20,success
Rheumatoid Arthritis have been affecting me since Since last night at midnight.,Rheumatoid Arthritis,Since last night at midnight,success
Rosacea have been affecting me since 03/01/2020 – 03/15/2020.,Rosacea,03/01/2020 – 03/15/2020,success
I’ve been suffering from Muscle Strain ever since 2020/01/28 – 2020/02/02.,Muscle Strain,2020/01/28 – 2020/02/02,success
I have had Restless Legs Syndrome since 03/01/2020 – 03/05/2020.,Restless Legs Syndrome,03/01/2020 – 03/05/2020,success
I have Type 2 Diabetes since Last weekend.,Type 2 Diabetes,Last weekend,success
I have Type 2 Diabetes since During Spring 2020.,Type 2 Diabetes,During Spring 2020,success
I've been experiencing Myofascial Pain Syndrome since 2019/11/05 – 2019/11/06.,Myofascial Pain Syndrome,2019/11/05 – 2019/11/06,success
I have Chronic Kidney Disease since Past 12 hours.,Chronic Kidney Disease,Past 12 hours,success
I’ve been suffering from Hyperthyroidism ever since Last weekend.,Hyperthyroidism,Last weekend,success
"Since 12/30/2019 – 01/10/2020, I’ve been dealing with Hypertrophic Cardiomyopathy.",Hypertrophic Cardiomyopathy,12/30/2019 – 01/10/2020,success
"Since Between 02/10/2020 and 02/20/2020, I’ve been dealing with Orthostatic Intolerance.",Orthostatic Intolerance,Between 02/10/2020 and 02/20/2020,success
"Since Since my last doctor’s visit, I’ve been dealing with Gallstones.",Gallstones,Since my last doctor’s visit,success
I have Irritable Bowel Syndrome (IBS) since The first week of November 2019.,Irritable Bowel Syndrome (IBS),The first week of November 2019,success
I have Fibromyalgia since Past 1 hour.,Fibromyalgia,Past 1 hour,success
I've been experiencing Heart Palpitations since From 03/01/2020 to 03/07/2020.,Heart Palpitations,From 03/01/2020 to 03/07/2020,success
"Since Over the last school semester, I’ve been dealing with Runner’s Knee (Patellofemoral Pain Syndrome).",Runner’s Knee (Patellofemoral Pain Syndrome),Over the last school semester,success
"Since 03/21/2020 – 03/25/2020, I’ve been dealing with Hypertension (High Blood Pressure).",Hypertension (High Blood Pressure),03/21/2020 – 03/25/2020,success
Allergic Rhinitis (Seasonal Allergies) have been affecting me since 03/20/2020 – 03/27/2020.,Allergic Rhinitis (Seasonal Allergies),03/20/2020 – 03/27/2020,success
I have had Hypertrophic Cardiomyopathy since 03/15/2020 – 03/19/2020.,Hypertrophic Cardiomyopathy,03/15/2020 – 03/19/2020,success
I have Shingles (Herpes Zoster) since Over the last school semester.,Shingles (Herpes Zoster),Over the last school semester,success
I have had Hypothyroidism since Past 2 weeks.,Hypothyroidism,Past 2 weeks,success
I've been experiencing Hyperthyroidism since Over the last school semester.,Hyperthyroidism,Over the last school semester,success
"Since The entire month of February 2020, I’ve been dealing with Rheumatoid Arthritis.",Rheumatoid Arthritis,The entire month of February 2020,success
Bradycardia (Slow Heart Rate) have been affecting me since Yesterday.,Bradycardia (Slow Heart Rate),Yesterday,success
I have had Irritable Bowel Syndrome (IBS) since From 07:00 PM to 10:00 PM yesterday.,Irritable Bowel Syndrome (IBS),From 07:00 PM to 10:00 PM yesterday,success
I've been experiencing Depression since 03/21/2020 – 03/25/2020.,Depression,03/21/2020 – 03/25/2020,success
Chronic Back Pain have been affecting me since 2019/11/29 – 2019/12/15.,Chronic Back Pain,2019/11/29 – 2019/12/15,success
"Since Between 02/10/2020 and 02/20/2020, I’ve been dealing with Depression.",Depression,Between 02/10/2020 and 02/20/2020,success
I've been experiencing Chronic Fatigue Syndrome since Past 30 days.,Chronic Fatigue Syndrome,Past 30 days,success
I have Plantar Fasciitis since 2019/12/15 – 2019/12/19.,Plantar Fasciitis,2019/12/15 – 2019/12/19,success
Anxiety Disorder have been affecting me since Since last Monday.,Anxiety Disorder,Since last Monday,success
I have had Hypothyroidism since Past 1 hour.,Hypothyroidism,Past 1 hour,success
I’ve been suffering from Delayed Onset Muscle Soreness (DOMS) ever since Past 1 hour.,Delayed Onset Muscle Soreness (DOMS),Past 1 hour,success
I have had Plantar Fasciitis since 03/01/2020 – 03/15/2020.,Plantar Fasciitis,03/01/2020 – 03/15/2020,success
I’ve been suffering from Attention Deficit Hyperactivity Disorder (ADHD) ever since Past 30 days.,Attention Deficit Hyperactivity Disorder (ADHD),Past 30 days,success
I've been experiencing Allergic Rhinitis (Seasonal Allergies) since 2019/12/01 – 2019/12/05.,Allergic Rhinitis (Seasonal Allergies),2019/12/01 – 2019/12/05,success
Psoriasis Urinary Tract Infection (UTI) have been affecting me since The entire month of February 2020.,Psoriasis Urinary Tract Infection (UTI),The entire month of February 2020,success
Bradycardia (Slow Heart Rate) have been affecting me since Past week.,Bradycardia (Slow Heart Rate),Past week,success
Hypertrophic Cardiomyopathy have been affecting me since 03/26/2020 – 03/29/2020.,Hypertrophic Cardiomyopathy,03/26/2020 – 03/29/2020,success
"Since During Spring 2020, I’ve been dealing with Rosacea.",Rosacea,During Spring 2020,success
I have had Heat Exhaustion since Past 6 hours.,Heat Exhaustion,Past 6 hours,success
I’ve been suffering from Psoriasis Urinary Tract Infection (UTI) ever since 2020/02/11 – 2020/02/14.,Psoriasis Urinary Tract Infection (UTI),2020/02/11 – 2020/02/14,success
"Since Past 1 hour, I’ve been dealing with Insomnia.",Insomnia,Past 1 hour,success
I've been experiencing Shingles (Herpes Zoster) since 2020/02/15 – 2020/02/20.,Shingles (Herpes Zoster),2020/02/15 – 2020/02/20,success
I've been experiencing Tachycardia (Fast Heart Rate) since Since the beginning of this year.,Tachycardia (Fast Heart Rate),Since the beginning of this year,success
I have Glaucoma since The entire month of February 2020.,Glaucoma,The entire month of February 2020,success
I have Epilepsy since 2019/11/10 – 2019/11/12.,Epilepsy,2019/11/10 – 2019/11/12,success
"Since 03/01/2020 – 03/05/2020, I’ve been dealing with Osteoarthritis.",Osteoarthritis,03/01/2020 – 03/05/2020,success
I have Chronic Kidney Disease since Since the COVID-19 pandemic began.,Chronic Kidney Disease,Since the COVID-19 pandemic began,success
I’ve been suffering from Hypertrophic Cardiomyopathy ever since 03/01/2020 – 03/15/2020.,Hypertrophic Cardiomyopathy,03/01/2020 – 03/15/2020,success
I've been experiencing Hypertension (High Blood Pressure) since Between 02/10/2020 and 02/20/2020.,Hypertension (High Blood Pressure),Between 02/10/2020 and 02/20/2020,success
I have Muscle Strain since 2020/02/15 – 2020/02/20.,Muscle Strain,2020/02/15 – 2020/02/20,success
I have Osteoarthritis since Past 12 hours.,Osteoarthritis,Past 12 hours,success
I have Exercise-Induced Hypoglycemia since Last 3 hours.,Exercise-Induced Hypoglycemia,Last 3 hours,success
I have had Hypertension (High Blood Pressure) since Past 12 hours.,Hypertension (High Blood Pressure),Past 12 hours,success
I've been experiencing Epilepsy since 2020/02/15 – 2020/02/20.,Epilepsy,2020/02/15 – 2020/02/20,success
I’ve been suffering from Peripheral Neuropathy ever since Over the last school semester.,Peripheral Neuropathy,Over the last school semester,success
I have Delayed Onset Muscle Soreness (DOMS) since Past 12 hours.,Delayed Onset Muscle Soreness (DOMS),Past 12 hours,success
I have had Fatigue from Iron Deficiency since 2019/11/03 – 2019/11/07.,Fatigue from Iron Deficiency,2019/11/03 – 2019/11/07,success
"Since 2019/11/03 – 2019/11/07, I’ve been dealing with Glaucoma.",Glaucoma,2019/11/03 – 2019/11/07,success
I’ve been suffering from Iliotibial Band Syndrome (ITBS) ever since 03/01/2020 – 03/05/2020.,Iliotibial Band Syndrome (ITBS),03/01/2020 – 03/05/2020,success
I have had Anxiety Disorder since Between 02/10/2020 and 02/20/2020.,Anxiety Disorder,Between 02/10/2020 and 02/20/2020,success
I have Fatigue from Iron Deficiency since The last quarter of 2019.,Fatigue from Iron Deficiency,The last quarter of 2019,success
I have had Rheumatoid Arthritis since Between 02/10/2020 and 02/20/2020.,Rheumatoid Arthritis,Between 02/10/2020 and 02/20/2020,success
I have had Insomnia since Every morning this week.,Insomnia,Every morning this week,success
I’ve been suffering from Glaucoma ever since 2020/02/11 – 2020/02/14.,Glaucoma,2020/02/11 – 2020/02/14,success
I have Myofascial Pain Syndrome since The second half of November 2019.,Myofascial Pain Syndrome,The second half of November 2019,success
Tachycardia (Fast Heart Rate) have been affecting me since 2019/11/03 – 2019/11/07.,Tachycardia (Fast Heart Rate),2019/11/03 – 2019/11/07,success
I've been experiencing High Cholesterol (Hyperlipidemia) since 12/30/2019 – 01/10/2020.,High Cholesterol (Hyperlipidemia),12/30/2019 – 01/10/2020,success
Hypertension (High Blood Pressure) have been affecting me since Past 1 hour.,Hypertension (High Blood Pressure),Past 1 hour,success
I have Acid Reflux (GERD) since Past 1 hour.,Acid Reflux (GERD),Past 1 hour,success
I've been experiencing Peripheral Neuropathy since Last month.,Peripheral Neuropathy,Last month,success
I’ve been suffering from Gout ever since Past 2 weeks.,Gout,Past 2 weeks,success
I've been experiencing Rosacea since For the past 4 days.,Rosacea,For the past 4 days,success
"I have Heat Exhaustion since Today, 08:00 AM – 11:00 AM.",Heat Exhaustion,"Today, 08:00 AM – 11:00 AM",success
I’ve been suffering from Peptic Ulcer Disease ever since The second half of November 2019.,Peptic Ulcer Disease,The second half of November 2019,success
I have had Asthma since 2020/02/11 – 2020/02/14.,Asthma,2020/02/11 – 2020/02/14,success
"Since 12/30/2019 – 01/10/2020, I’ve been dealing with Hyperthyroidism.",Hyperthyroidism,12/30/2019 – 01/10/2020,success
Fatigue from Iron Deficiency have been affecting me since For the past 10 minutes.,Fatigue from Iron Deficiency,For the past 10 minutes,success
Hypertrophic Cardiomyopathy have been affecting me since Since turning 30 years old.,Hypertrophic Cardiomyopathy,Since turning 30 years old,success
I’ve been suffering from Exercise-Induced Hypoglycemia ever since 03/01/2020 – 03/05/2020.,Exercise-Induced Hypoglycemia,03/01/2020 – 03/05/2020,success
I've been experiencing Peptic Ulcer Disease since 2020/01/01 – 2020/01/07.,Peptic Ulcer Disease,2020/01/01 – 2020/01/07,success
I've been experiencing Anxiety Disorder since Past 6 hours.,Anxiety Disorder,Past 6 hours,success
"Since Last month, I’ve been dealing with Heart Palpitations.",Heart Palpitations,Last month,success
I have had Fibromyalgia since From 03/01/2020 to 03/07/2020.,Fibromyalgia,From 03/01/2020 to 03/07/2020,success
I've been experiencing Hypertrophic Cardiomyopathy since Last 3 hours.,Hypertrophic Cardiomyopathy,Last 3 hours,success
I've been experiencing Bradycardia (Slow Heart Rate) since 2020/01/01 – 2020/01/07.,Bradycardia (Slow Heart Rate),2020/01/01 – 2020/01/07,success
I have Common Cold since Since last Monday.,Common Cold,Since last Monday,success
I have had Peripheral Neuropathy since 2019/12/20 – 2019/12/27.,Peripheral Neuropathy,2019/12/20 – 2019/12/27,success
"Since 2019/11/05 – 2019/11/06, I’ve been dealing with Runner’s Knee (Patellofemoral Pain Syndrome).",Runner’s Knee (Patellofemoral Pain Syndrome),2019/11/05 – 2019/11/06,success
I've been experiencing Allergic Rhinitis (Seasonal Allergies) since 2020/01/11 – 2020/01/15.,Allergic Rhinitis (Seasonal Allergies),2020/01/11 – 2020/01/15,success
I’ve been suffering from Chronic Kidney Disease ever since During the holiday season 2019.,Chronic Kidney Disease,During the holiday season 2019,success
I have had Rosacea since 03/21/2020 – 03/25/2020.,Rosacea,03/21/2020 – 03/25/2020,success
I've been experiencing Type 2 Diabetes since For the past 4 days.,Type 2 Diabetes,For the past 4 days,success
"Since 2019/11/10 – 2019/11/12, I’ve been dealing with Delayed Onset Muscle Soreness (DOMS).",Delayed Onset Muscle Soreness (DOMS),2019/11/10 – 2019/11/12,success
Acid Reflux (GERD) have been affecting me since The first week of November 2019.,Acid Reflux (GERD),The first week of November 2019,success
I’ve been suffering from Postural Orthostatic Tachycardia Syndrome (POTS) ever since From 03/01/2020 to 03/07/2020.,Postural Orthostatic Tachycardia Syndrome (POTS),From 03/01/2020 to 03/07/2020,success
I have Gout since Past 30 days.,Gout,Past 30 days,success
I’ve been suffering from Attention Deficit Hyperactivity Disorder (ADHD) ever since During the holiday season 2019.,Attention Deficit Hyperactivity Disorder (ADHD),During the holiday season 2019,success
I’ve been suffering from Irritable Bowel Syndrome (IBS) ever since From 07:00 PM to 10:00 PM yesterday.,Irritable Bowel Syndrome (IBS),From 07:00 PM to 10:00 PM yesterday,success
I’ve been suffering from Asthma ever since 2019/12/20 – 2019/12/27.,Asthma,2019/12/20 – 2019/12/27,success
Polycystic Ovary Syndrome (PCOS) have been affecting me since 12/30/2019 – 01/10/2020.,Polycystic Ovary Syndrome (PCOS),12/30/2019 – 01/10/2020,success
Anemia Eczema (Atopic Dermatitis) have been affecting me since The last quarter of 2019.,Anemia Eczema (Atopic Dermatitis),The last quarter of 2019,success
Joint Sprain have been affecting me since Last month.,Joint Sprain,Last month,success
Benign Prostatic Hyperplasia (BPH) have been affecting me since The entire month of February 2020.,Benign Prostatic Hyperplasia (BPH),The entire month of February 2020,success
"Since This month (up to today), I’ve been dealing with Hypertension (High Blood Pressure).",Hypertension (High Blood Pressure),This month (up to today),success
I've been experiencing Orthostatic Intolerance since 03/01/2020 – 03/15/2020.,Orthostatic Intolerance,03/01/2020 – 03/15/2020,success
Pneumonia have been affecting me since Last 3 months.,Pneumonia,Last 3 months,success
Fibromyalgia have been affecting me since 2020/01/01 – 2020/01/07.,Fibromyalgia,2020/01/01 – 2020/01/07,success
"Since Past 1 hour, I’ve been dealing with Rheumatoid Arthritis.",Rheumatoid Arthritis,Past 1 hour,success
I have had Polycystic Ovary Syndrome (PCOS) since 2020/02/15 – 2020/02/20.,Polycystic Ovary Syndrome (PCOS),2020/02/15 – 2020/02/20,success
"Since 2020/02/11 – 2020/02/14, I’ve been dealing with Restless Legs Syndrome.",Restless Legs Syndrome,2020/02/11 – 2020/02/14,success
I have had Attention Deficit Hyperactivity Disorder (ADHD) since 03/21/2020 – 03/25/2020.,Attention Deficit Hyperactivity Disorder (ADHD),03/21/2020 – 03/25/2020,success
I’ve been suffering from Insomnia ever since 03/26/2020 – 03/29/2020.,Insomnia,03/26/2020 – 03/29/2020,success
"Since During Spring 2020, I’ve been dealing with Exercise-Induced Hypoglycemia.",Exercise-Induced Hypoglycemia,During Spring 2020,success
I’ve been suffering from Dehydration ever since Since last night at midnight.,Dehydration,Since last night at midnight,success
I have had Asthma since Last month.,Asthma,Last month,success
"Since During Spring 2020, I’ve been dealing with Anxiety Disorder.",Anxiety Disorder,During Spring 2020,success
I have had Exercise-Induced Hypoglycemia since Last month.,Exercise-Induced Hypoglycemia,Last month,success
I have had Fatigue from Iron Deficiency since Since the COVID-19 pandemic began.,Fatigue from Iron Deficiency,Since the COVID-19 pandemic began,success
I’ve been suffering from Gout ever since Last 36 hours.,Gout,Last 36 hours,success
I have had Insomnia since The entire month of February 2020.,Insomnia,The entire month of February 2020,success
I've been experiencing Glaucoma since Last 36 hours.,Glaucoma,Last 36 hours,success
Attention Deficit Hyperactivity Disorder (ADHD) have been affecting me since 2019/11/10 – 2019/11/12.,Attention Deficit Hyperactivity Disorder (ADHD),2019/11/10 – 2019/11/12,success
"Since Since last Monday, I’ve been dealing with Obesity.",Obesity,Since last Monday,success
I’ve been suffering from Pneumonia ever since Yesterday.,Pneumonia,Yesterday,success
Muscle Strain have been affecting me since 2019/11/18 – 2019/11/22.,Muscle Strain,2019/11/18 – 2019/11/22,success
I’ve been suffering from Obesity ever since 03/15/2020 – 03/19/2020.,Obesity,03/15/2020 – 03/19/2020,success
I've been experiencing Shin Splints since 2020/01/01 – 2020/01/07.,Shin Splints,2020/01/01 – 2020/01/07,success
"I have Asthma since Today, 08:00 AM – 11:00 AM.",Asthma,"Today, 08:00 AM – 11:00 AM",success
"Restless Legs Syndrome have been affecting me since Today, 08:00 AM – 11:00 AM.",Restless Legs Syndrome,"Today, 08:00 AM – 11:00 AM",success
"Since 2019/11/03 – 2019/11/07, I’ve been dealing with Plantar Fasciitis.",Plantar Fasciitis,2019/11/03 – 2019/11/07,success
I have Anxiety Disorder since 03/06/2020 – 03/10/2020.,Anxiety Disorder,03/06/2020 – 03/10/2020,success
I have had Chronic Sinusitis since From 07:00 PM to 10:00 PM yesterday.,Chronic Sinusitis,From 07:00 PM to 10:00 PM yesterday,success
I have Allergic Rhinitis (Seasonal Allergies) since Since last Monday.,Allergic Rhinitis (Seasonal Allergies),Since last Monday,success
I have had Joint Sprain since 2020/02/11 – 2020/02/14.,Joint Sprain,2020/02/11 – 2020/02/14,success
Depression have been affecting me since 2020/01/11 – 2020/01/15.,Depression,2020/01/11 – 2020/01/15,success
I’ve been suffering from Anxiety Disorder ever since 03/15/2020 – 03/19/2020.,Anxiety Disorder,03/15/2020 – 03/19/2020,success
"Since This month (up to today), I’ve been dealing with Celiac Disease.",Celiac Disease,This month (up to today),success
I have had Irritable Bowel Syndrome (IBS) since Last 3 months.,Irritable Bowel Syndrome (IBS),Last 3 months,success
Postural Orthostatic Tachycardia Syndrome (POTS) have been affecting me since The last quarter of 2019.,Postural Orthostatic Tachycardia Syndrome (POTS),The last quarter of 2019,success
"Insomnia have been affecting me since Today, 08:00 AM – 11:00 AM.",Insomnia,"Today, 08:00 AM – 11:00 AM",success
I've been experiencing Hyperthyroidism since 2019/12/01 – 2019/12/05.,Hyperthyroidism,2019/12/01 – 2019/12/05,success
I have Celiac Disease since During Spring 2020.,Celiac Disease,During Spring 2020,success
"Since 2019/11/03 – 2019/11/07, I’ve been dealing with Irritable Bowel Syndrome (IBS).",Irritable Bowel Syndrome (IBS),2019/11/03 – 2019/11/07,success
"Since For the past 10 minutes, I’ve been dealing with Restless Legs Syndrome.",Restless Legs Syndrome,For the past 10 minutes,success
I’ve been suffering from Anemia Eczema (Atopic Dermatitis) ever since The first week of November 2019.,Anemia Eczema (Atopic Dermatitis),The first week of November 2019,success
I’ve been suffering from Dehydration ever since Since the beginning of this year.,Dehydration,Since the beginning of this year,success
Iliotibial Band Syndrome (ITBS) have been affecting me since 2019/11/05 – 2019/11/06.,Iliotibial Band Syndrome (ITBS),2019/11/05 – 2019/11/06,success
I've been experiencing Tachycardia (Fast Heart Rate) since From 03/01/2020 to 03/07/2020.,Tachycardia (Fast Heart Rate),From 03/01/2020 to 03/07/2020,success
Fibromyalgia have been affecting me since The entire month of February 2020.,Fibromyalgia,The entire month of February 2020,success
I’ve been suffering from Overtraining Syndrome ever since During the holiday season 2019.,Overtraining Syndrome,During the holiday season 2019,success
I have had Anemia Eczema (Atopic Dermatitis) since This month (up to today).,Anemia Eczema (Atopic Dermatitis),This month (up to today),success
I've been experiencing Hyperthyroidism since 2020/01/11 – 2020/01/15.,Hyperthyroidism,2020/01/11 – 2020/01/15,success
I have Benign Prostatic Hyperplasia (BPH) since 2020/01/01 – 2020/01/07.,Benign Prostatic Hyperplasia (BPH),2020/01/01 – 2020/01/07,success
"Since 03/21/2020 – 03/25/2020, I’ve been dealing with Shingles (Herpes Zoster).",Shingles (Herpes Zoster),03/21/2020 – 03/25/2020,success
